university_id,name,degree,language,duration,tuition,requirements,details,priority
karabuk-university,Architecture,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Business Administration,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Business Administration,Bachelor,English,4 Years,null,null,null,null
karabuk-university,Entrepreneurship,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Finance and Banking,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,International Business,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Public Relations and Advertising,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Dentistry,Bachelor,Turkish,5 Years,null,null,null,null
karabuk-university,Economics,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,International Relations,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,International Relations,Bachelor,English,4 Years,null,null,null,null
karabuk-university,Political Science and Public Administration,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Automotive Engineering,Bachelor,30% English,4 Years,null,null,null,null
karabuk-university,Biomedical Engineering,Bachelor,30% English,4 Years,null,null,null,null
karabuk-university,Civil Engineering,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Computer Engineering,Bachelor,English,4 Years,null,null,null,null
karabuk-university,Computer Engineering,Bachelor,30% English,4 Years,null,null,null,null
karabuk-university,Electrical and Electronics Engineering,Bachelor,English,4 Years,null,null,null,null
karabuk-university,Electrical and Electronics Engineering,Bachelor,30% English,4 Years,null,null,null,null
karabuk-university,Environmental Engineering,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Industrial Engineering,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Mechanical Engineering,Bachelor,30% English,4 Years,null,null,null,null
karabuk-university,Mechanical Engineering,Bachelor,English,4 Years,null,null,null,null
karabuk-university,Mechatronics Engineering ,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Medical Engineering,Bachelor,30% English,4 Years,null,null,null,null
karabuk-university,Medical Engineering,Bachelor,English,4 Years,null,null,null,null
karabuk-university,Metallurgical and Materials Engineering,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Metallurgical and Materials Engineering,Bachelor,English,4 Years,null,null,null,null
karabuk-university,Railway Systems Engineering,Bachelor,English,4 Years,null,null,null,null
karabuk-university,Railway Systems Engineering,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Software Engineering,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Transportation Engineering,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Chemistry,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Mathematics,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Forest Engineering,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Child Development,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Midwifery,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Nursing,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Physiotherapy and Rehabilitation,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Archeology,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Art History,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,English Language and Literature,Bachelor,English,4 Years,null,null,null,null
karabuk-university,Geography,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,History,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Philosophy,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Psychology,Bachelor,Turkish,4 Years,null,null,null,null
karabuk-university,Sociology,Bachelor,Turkish,4 Years,null,null,null,null
